"#"	"x"	"bhikkhupātimokkhapāḷi"	"pos"	"grammar"	"+case"	"tamil"	"meaning"	"lit. meaning"	"root"	"rt gp"	"sign"	"base"	"construction"	"compound type"	"compound construction"	"abbrev"	"source"	"sentence"	"aṭṭhakathā"
"1"	"1"	"purisa"	"noun"	"masc voc sg"	""	"மனிதா"	"man, person"	""	""	""	""	""	""	""	""	"PA3"	"manussaviggahasikkhāpadaṃ"	"ambho <b>purisa</b> kiṃ tuyh'iminā pāpakena dujjīvitena, mataṃ te jīvitā seyyo'ti"	""
"2"	"3"	"kiṃ"	"pron"	"nt nom sg of ka"	"0"	"என்ன"	"what?"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"PA3"	"manussaviggahasikkhāpadaṃ"	"ambho purisa <b>kiṃ</b> tuyh'iminā pāpakena dujjīvitena, mataṃ te jīvitā seyyo'ti"	""
"1"	"1"	"tuyhiminā"	"comp"	"sandhi"	""	"உனக்கு இந்த"	"for you with this"	""	""	""	""	""	"tuyhaṃ + iminā"	""	""	"PA3"	"manussaviggahasikkhāpadaṃ"	"ambho purisa kiṃ <b>tuyh'iminā</b> pāpakena dujjīvitena, mataṃ te jīvitā seyyo'ti"	""
"1"	"1"	"- tuyhaṃ"	"pron"	"dat sg of tvaṃ"	""	""	"for you"	""	""	""	""	""	""	""	""	"PA3"	"manussaviggahasikkhāpadaṃ"	"ambho purisa kiṃ <b>tuyh</b>'iminā pāpakena dujjīvitena, mataṃ te jīvitā seyyo'ti"	""
"1"	"1"	"- iminā"	"pron"	"nt instr sg of ima"	""	""	"with this"	""	""	""	""	""	""	""	""	"PA3"	"manussaviggahasikkhāpadaṃ"	"ambho purisa kiṃ tuyh'<b>iminā</b> pāpakena dujjīvitena, mataṃ te jīvitā seyyo'ti"	""
"1"	"1"	"pāpakena"	"adj"	"nt instr sg of pāpaka"	""	"பாவத்துடன்"	"with bad, wicked, evil, miserable"	""	""	""	""	""	"pāpa + ka"	""	""	"PA3"	"manussaviggahasikkhāpadaṃ"	"ambho purisa kiṃ tuyh'iminā <b>pāpakena</b> dujjīvitena, mataṃ te jīvitā seyyo'ti"	""
"1"	"1"	"dujjīvitena"	"noun"	"nt instr sg of dur + jīvita"	""	"துர் ஜீவனுடன்"	"with bad life, difficult existence"	""	"√jīv (live)"	"1"	"a"	""	"dur + √jīv + ita"	""	""	"PA3"	"manussaviggahasikkhāpadaṃ"	"ambho purisa kiṃ tuyh'iminā pāpakena <b>dujjīvitena</b>, mataṃ te jīvitā seyyo'ti"	""
"1"	"1"	"mataṃ"	"noun"	"nt nom sg of mata"	""	"மரணம்"	"death"	""	"√mar (die)"	"1"	"a"	""	"√mar + ta"	""	""	"PA3"	"manussaviggahasikkhāpadaṃ"	"ambho purisa kiṃ tuyh'iminā pāpakena dujjīvitena, <b>mataṃ</b> te jīvitā seyyo'ti"	""
"1"	"17"	"te"	"pron"	"dat sg of tvaṃ"	""	"உனக்கு"	"for you"	""	""	""	""	""	""	""	""	"PA3"	"manussaviggahasikkhāpadaṃ"	"ambho purisa kiṃ tuyh'iminā pāpakena dujjīvitena, mataṃ <b>te</b> jīvitā seyyo'ti"	""
"2"	"3"	"jīvitā"	"noun"	"abl sg of jīvita"	"0"	"வாழ்விலிருந்து"	"from life"	"0"	"√jīv (live)"	"1"	"a"	"0"	"√jīv + ita"	"0"	"0"	"PA3"	"manussaviggahasikkhāpadaṃ"	"ambho purisa kiṃ tuyh'iminā pāpakena dujjīvitena, mataṃ te <b>jīvitā</b> seyyo'ti"	""
"1"	"1"	"seyyoti"	"comp"	"sandhi"	""	""	""	""	""	""	""	""	"seyyo + iti"	""	""	"PA3"	"manussaviggahasikkhāpadaṃ"	"ambho purisa kiṃ tuyh'iminā pāpakena dujjīvitena, mataṃ te jīvitā <b>seyyo'ti</b>"	""
"1"	"1"	"- seyyo"	"ind"	"compar of sirī"	"+abl"	"மேன்மையானது"	"better (than)"	""	""	""	""	""	"siri + *ya + o"	""	""	"PA3"	"manussaviggahasikkhāpadaṃ"	"ambho purisa kiṃ tuyh'iminā pāpakena dujjīvitena, mataṃ te jīvitā <b>seyyo</b>'ti"	""
"4"	"45"	"- iti"	"ind"	"0"	"0"	"என"	"“”"	"thus"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"PA3"	"manussaviggahasikkhāpadaṃ"	"ambho purisa kiṃ tuyh'iminā pāpakena dujjīvitena, mataṃ te jīvitā seyyo<b>'ti</b>"	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PA3"	"manussaviggahasikkhāpadaṃ"	""	""
"1"	"3"	"iti"	"ind"	"adv"	""	"இப்படி"	"this, like, thus"	""	""	""	""	""	""	""	""	"PA3"	"manussaviggahasikkhāpadaṃ"	"<b>iti</b> cittamano cittasaṅkappo anekapariyāyena maraṇavaṇṇaṃ vā saṃvaṇṇeyya, maraṇāya vā samādapeyya"	""
"1"	"1"	"cittamano"	"adj"	"masc nom sg of cittamanas"	""	"எண்ண மனதுடன்"	"with this thought in mind"	"thought in mind"	""	""	""	""	"citta + manas"	"locative tappurisa"	"citt<b>e</b> + manas"	"PA3"	"manussaviggahasikkhāpadaṃ"	"iti <b>cittamano</b> cittasaṅkappo anekapariyāyena maraṇavaṇṇaṃ vā saṃvaṇṇeyya, maraṇāya vā samādapeyya"	""
"1"	"2"	"- citta"	"noun"	"nt"	""	""	"mind, thought, heart"	""	"√cit (think)"	"8"	"e"	""	"√cit + ta"	""	""	"PA3"	"manussaviggahasikkhāpadaṃ"	"iti <b>citta</b>mano cittasaṅkappo anekapariyāyena maraṇavaṇṇaṃ vā saṃvaṇṇeyya, maraṇāya vā samādapeyya"	""
"1"	"1"	"- mano"	"noun"	"masc nom sg of manas"	""	""	"mind"	""	"√man (think)"	"3"	"ya"	""	"√man + as"	""	""	"PA3"	"manussaviggahasikkhāpadaṃ"	"iti citta<b>mano</b> cittasaṅkappo anekapariyāyena maraṇavaṇṇaṃ vā saṃvaṇṇeyya, maraṇāya vā samādapeyya"	""
"1"	"1"	"cittasaṅkappo"	"adj"	"masc nom sg of cittasaṅkappa"	""	"நோக்க எண்ணத்துடன்"	"intention in mind, purpose in mind"	""	""	""	""	""	"citta + saṅkappa"	""	"citt<b>e</b> + saṅkappa"	"PA3"	"manussaviggahasikkhāpadaṃ"	"iti cittamano <b>cittasaṅkappo</b> anekapariyāyena maraṇavaṇṇaṃ vā saṃvaṇṇeyya, maraṇāya vā samādapeyya"	""
"2"	"2"	"- citta"	"noun"	"nt"	"0"	"0"	"mind, thought, heart"	"0"	"√cit (think)"	"8"	"e"	"0"	"√cit + ta"	"0"	"0"	"PA3"	"manussaviggahasikkhāpadaṃ"	"iti cittamano <b>citta</b>saṅkappo anekapariyāyena maraṇavaṇṇaṃ vā saṃvaṇṇeyya, maraṇāya vā samādapeyya"	""
"1"	"1"	"- saṅkappo"	"noun"	"masc nom sg of saṅkappa"	""	""	"intention, volition"	"thought"	"√kapp (think)"	"8"	"e"	""	"saṃ + √kapp + a"	""	""	"PA3"	"manussaviggahasikkhāpadaṃ"	"iti cittamano citta<b>saṅkappo</b> anekapariyāyena maraṇavaṇṇaṃ vā saṃvaṇṇeyya, maraṇāya vā samādapeyya"	""
"1"	"3"	"anekapariyāyena"	"ind"	"adv, instr sg of anekapariyāya"	""	"பலவழிகளில்"	"in various ways, in many ways"	"with not one way"	""	""	""	""	"aneka + pariyāyena"	"kammadhāraya"	"aneka + pariyāyena"	"PA3"	"manussaviggahasikkhāpadaṃ"	"iti cittamano cittasaṅkappo <b>anekapariyāyena</b> maraṇavaṇṇaṃ vā saṃvaṇṇeyya, maraṇāya vā samādapeyya"	""
"1"	"1"	"- aneka"	"adj"	""	""	""	"many"	"not one"	""	""	""	""	"na + eka"	""	""	"PA3"	"manussaviggahasikkhāpadaṃ"	"iti cittamano cittasaṅkappo <b>aneka</b>pariyāyena maraṇavaṇṇaṃ vā saṃvaṇṇeyya, maraṇāya vā samādapeyya"	""
"1"	"1"	"- pariyāyena"	"noun"	"masc instr sg of pariyāya"	""	""	"with ways, with methods"	"with way"	"√i (come, go)"	"1"	"a"	""	"pari + [y] + √i > ay + a"	""	""	"PA3"	"manussaviggahasikkhāpadaṃ"	"iti cittamano cittasaṅkappo aneka<b>pariyāyena</b> maraṇavaṇṇaṃ vā saṃvaṇṇeyya, maraṇāya vā samādapeyya"	""
"2"	"2"	"maraṇavaṇṇaṃ"	"noun"	"masc acc sg of maraṇavaṇṇa"	"0"	"மரணத்தின் மேன்மையை"	"value of death, advantage in death"	"0"	"0"	"0"	"0"	"0"	"maraṇa + vaṇṇa"	"locative tappurisa"	"maraṇe + vaṇṇa"	"PA3"	"manussaviggahasikkhāpadaṃ"	"iti cittamano cittasaṅkappo anekapariyāyena <b>maraṇavaṇṇaṃ</b> vā saṃvaṇṇeyya, maraṇāya vā samādapeyya"	""
"8"	"220"	"vā"	"ind"	"conj"	"0"	"அல்லது"	"or, either or"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"PA3"	"manussaviggahasikkhāpadaṃ"	"iti cittamano cittasaṅkappo anekapariyāyena maraṇavaṇṇaṃ <b>vā</b> saṃvaṇṇeyya, maraṇāya vā samādapeyya"	""
"2"	"2"	"saṃvaṇṇeyya"	"verb"	"opt 3rd sg of saṃvaṇṇeti"	"+acc"	"வர்ணித்தால்"	"he would praise, speak highly of"	"0"	"√vaṇṇ (praise)"	"8"	"e"	"√vaṇṇ + e > vaṇṇe"	"saṃ + vaṇṇe + ti"	"0"	"0"	"PA3"	"manussaviggahasikkhāpadaṃ"	"iti cittamano cittasaṅkappo anekapariyāyena maraṇavaṇṇaṃ vā <b>saṃvaṇṇeyya</b>, maraṇāya vā samādapeyya"	""
"2"	"2"	"maraṇāya"	"noun"	"nt dat sg of maraṇa"	"0"	"மரணிக்க"	"for death"	"0"	"√mar (die)"	"1"	"a"	"0"	"√mar + aṇa"	"0"	"0"	"PA3"	"manussaviggahasikkhāpadaṃ"	"iti cittamano cittasaṅkappo anekapariyāyena maraṇavaṇṇaṃ vā saṃvaṇṇeyya, <b>maraṇāya</b> vā samādapeyya"	""
"9"	"220"	"vā"	"ind"	"conj"	"0"	"அல்லது"	"or, either or"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"PA3"	"manussaviggahasikkhāpadaṃ"	"iti cittamano cittasaṅkappo anekapariyāyena maraṇavaṇṇaṃ vā saṃvaṇṇeyya, maraṇāya <b>vā</b> samādapeyya"	""
"2"	"2"	"samādapeyya"	"verb"	"opt 3rd sg of samādapeti"	"+dat"	"ஊக்குவித்தால்"	"he would encourage, incite"	"cause to take together"	"√ādā (take, steal)"	"3"	"*āpe"	"√ādā + āpe > ādape (irreg)"	"saṃ + ādape + ti"	"0"	"0"	"PA3"	"manussaviggahasikkhāpadaṃ"	"iti cittamano cittasaṅkappo anekapariyāyena maraṇavaṇṇaṃ vā saṃvaṇṇeyya, maraṇāya vā <b>samādapeyya</b>"	""
"2"	"5"	"ayampi"	"comp"	"sandhi"	"0"	"அவர் கூட"	"he too"	"0"	"0"	"0"	"0"	"0"	"ayaṃ + api"	"0"	"0"	"PA3"	"manussaviggahasikkhāpadaṃ"	"<b>ayam'pi</b> pārājiko hoti asaṃvāso."	""
"3"	"5"	"pārājiko"	"adj"	"masc nom sg of pārājika"	"0"	"தகுதி இழப்பவர்"	"defeated, destroyed, disqualified"	"conquered"	"√ji (conquer)"	"1"	"a"	"0"	"parā > pārā + √ji + *ika"	"0"	"0"	"PA3"	"manussaviggahasikkhāpadaṃ"	"ayam'pi <b>pārājiko</b> hoti asaṃvāso."	""
"7"	"20"	"hoti"	"verb"	"pr 3rd sg"	"+nom"	"ஆகிறார்"	"there is"	"it is"	"√hū (be)"	"1"	"a"	"√hū + a > ho"	"ho + ti"	"0"	"0"	"PA3"	"manussaviggahasikkhāpadaṃ"	"ayam'pi pārājiko <b>hoti</b> asaṃvāso."	""
"3"	"5"	"asaṃvāso"	"adj"	"masc nom sg of asaṃvāsa, from saṃvasati"	"0"	"வெளியேற்றப்படுகிறார்"	"unaffiliated, expelled, deposed"	"not living together"	"√vas (live)"	"1"	"a"	"0"	"na + saṃ + √vas + *a"	"0"	"0"	"PA3"	"manussaviggahasikkhāpadaṃ"	"ayam'pi pārājiko hoti <b>asaṃvāso</b>."	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"99"	"yo"	"pron"	"masc nom sg of ya"	"0"	"எந்தவொரு"	"whichever, whoever"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"PA4"	"uttarimanussadhammasikkhāpadaṃ"	"<b>yo</b> pana bhikkhu anabhijānaṃ uttarimanussadhammaṃ att'ūpanāyikaṃ alam'ariyañāṇadassanaṃ samudācareyya iti jānāmi, iti passāmī'ti"	""
"6"	"124"	"pana"	"ind"	"0"	"0"	"வும்"	"then, now, so, but"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"PA4"	"uttarimanussadhammasikkhāpadaṃ"	"yo <b>pana</b> bhikkhu anabhijānaṃ uttarimanussadhammaṃ att'upanāyikaṃ alam'ariyañāṇadassanaṃ samudācareyya iti jānāmi, iti passāmī'ti"	""
"6"	"147"	"bhikkhu"	"noun"	"masc nom sg, from bhikkhati"	"0"	"பிக்கு"	"monk, monastic"	"beggar, mendicant"	"√bhikkh (beg)"	"1"	"a"	"0"	"√bhikkh + u"	"0"	"0"	"PA4"	"uttarimanussadhammasikkhāpadaṃ"	"yo pana <b>bhikkhu</b> anabhijānaṃ uttarimanussadhammaṃ att'upanāyikaṃ alam'ariyañāṇadassanaṃ samudācareyya iti jānāmi, iti passāmī'ti"	""
"1"	"1"	"anabhijānaṃ"	"prp"	"masc nom sg, prp of na + abhijānāti"	""	"உணராமல்"	"not knowing, not understanding"	""	"√ñā (know)"	"5"	"nā"	"√ñā + nā > jānā"	"na + abhi + jānā + nta"	""	""	"PA4"	"uttarimanussadhammasikkhāpadaṃ"	"yo pana bhikkhu <b>anabhijānaṃ</b> uttarimanussadhammaṃ att'ūpanāyikaṃ alam'ariyañāṇadassanaṃ samudācareyya iti jānāmi, iti passāmī'ti"	""
"1"	"2"	"uttarimanussadhammaṃ"	"noun"	"masc acc sg of uttarimanussadhamma, comp"	""	"உயர் மனித நிலையை"	"superior than human state, superhuman state"	"higher than human state"	""	""	""	""	"uttari + manussa + dhamma"	"ablative tappurisa<br/>gentive tappurisa"	"uttari + manussadhammā<br/>uttarimanussassānaṃ + dhamma"	"PA4"	"uttarimanussadhammasikkhāpadaṃ"	"yo pana bhikkhu anabhijānaṃ <b>uttarimanussadhammaṃ</b> att'ūpanāyikaṃ alam'ariyañāṇadassanaṃ samudācareyya iti jānāmi, iti passāmī'ti"	""
"1"	"1"	"- uttari"	"ind"	"ind, adv, comp form of uttara"	""	""	"beyond, further"	"higher"	""	""	""	""	"ud + tara + i"	""	""	"PA4"	"uttarimanussadhammasikkhāpadaṃ"	"yo pana bhikkhu anabhijānaṃ <b>uttari</b>manussadhammaṃ att'ūpanāyikaṃ alam'ariyañāṇadassanaṃ samudācareyya iti jānāmi, iti passāmī'ti"	""
"2"	"2"	"- manussa"	"noun"	"masc"	"0"	"0"	"human, man, human being"	"from manu"	"0"	"0"	"0"	"0"	"manu + ssa"	"0"	"0"	"PA4"	"uttarimanussadhammasikkhāpadaṃ"	"yo pana bhikkhu anabhijānaṃ uttari<b>manussa</b>dhammaṃ att'upanāyikaṃ alam'ariyañāṇadassanaṃ samudācareyya iti jānāmi, iti passāmī'ti"	""
"1"	"4"	"- dhammaṃ"	"noun"	"masc acc sg of dhamma"	""	""	"state"	""	"√dhar (hold)"	"1"	"a"	""	"√dhar + ma"	""	""	"PA4"	"uttarimanussadhammasikkhāpadaṃ"	"yo pana bhikkhu anabhijānaṃ uttarimanussa<b>dhammaṃ</b> att'ūpanāyikaṃ alam'ariyañāṇadassanaṃ samudācareyya iti jānāmi, iti passāmī'ti"	""
"1"	"1"	"attūpanāyikaṃ"	"adj"	"masc acc sg of attūpanāyika, comp"	""	"சுட்டிக்காட்டி தன்னை"	"referring to oneself"	"leading near to oneself"	""	""	""	""	"atta + upanāyika"	"accusative tappurisa"	"attanaṃ + upanāyika"	"PA4"	"uttarimanussadhammasikkhāpadaṃ"	"yo pana bhikkhu anabhijānaṃ uttarimanussadhammaṃ <b>att'ūpanāyikaṃ</b> alam'ariyañāṇadassanaṃ samudācareyya iti jānāmi, iti passāmī'ti"	""
"1"	"2"	"- atta"	"noun"	"masc"	""	""	"self, oneself"	""	""	""	""	""	""	""	""	"PA4"	"uttarimanussadhammasikkhāpadaṃ"	"yo pana bhikkhu anabhijānaṃ uttarimanussadhammaṃ <b>att'</b>ūpanāyikaṃ alam'ariyañāṇadassanaṃ samudācareyya iti jānāmi, iti passāmī'ti"	""
"1"	"1"	"- upanāyikaṃ"	"adj"	"masc acc sg of upanāyika"	""	""	"relating to, referring to, regarding, applying to"	"leading near"	"√nī (lead)"	"1"	"a"	""	"upa + √nī + *a + *ika"	""	""	"PA4"	"uttarimanussadhammasikkhāpadaṃ"	"yo pana bhikkhu anabhijānaṃ uttarimanussadhammaṃ att'<b>ū</b><b>panāyikaṃ</b> alam'ariyañāṇadassanaṃ samudācareyya iti jānāmi, iti passāmī'ti"	""
"1"	"1"	"alamariyañāṇadassanaṃ"	"adj"	"masc acc sg of alamariyañāṇadassana, comp"	""	"ஞானிக்கு தகுதியான அறிவு மற்றும் ஞானத்தை"	"knowledge and vision suitable for an enlightened person"	""	""	""	""	""	"alamariya + ñāṇadassanaṃ"	"kammadhāraya"	"alamariya + ñāṇadassanaṃ"	"PA4"	"uttarimanussadhammasikkhāpadaṃ"	"yo pana bhikkhu anabhijānaṃ uttarimanussadhammaṃ att'ūpanāyikaṃ <b>alam'ariyañāṇadassanaṃ</b> samudācareyya iti jānāmi, iti passāmī'ti"	""
"1"	"1"	"- alamariya"	"adj"	""	""	""	"suitable for an enlightened person, appropriate for a noble one"	""	""	""	""	""	"alaṃ + ariya"	"dative tappurisa"	"alaṃ + ariy<b>ānaṃ</b>"	"PA4"	"uttarimanussadhammasikkhāpadaṃ"	"yo pana bhikkhu anabhijānaṃ uttarimanussadhammaṃ att'ūpanāyikaṃ <b>alam'ariya</b>ñāṇadassanaṃ samudācareyya iti jānāmi, iti passāmī'ti"	""
"1"	"1"	"- - alaṃ"	"ind"	"ind, adv"	""	""	"suitable, appropriate"	"enough"	""	""	""	""	""	""	""	"PA4"	"uttarimanussadhammasikkhāpadaṃ"	"yo pana bhikkhu anabhijānaṃ uttarimanussadhammaṃ att'ūpanāyikaṃ <b>alam'</b>ariyañāṇadassanaṃ samudācareyya iti jānāmi, iti passāmī'ti"	""
"1"	"1"	"- - ariya"	"noun"	"masc"	""	""	"enlightened person"	"noble person"	""	""	""	""	""	""	""	"PA4"	"uttarimanussadhammasikkhāpadaṃ"	"yo pana bhikkhu anabhijānaṃ uttarimanussadhammaṃ att'ūpanāyikaṃ alam'<b>ariya</b>ñāṇadassanaṃ samudācareyya iti jānāmi, iti passāmī'ti"	""
"1"	"1"	"- ñāṇadassanaṃ"	"noun"	"nt acc sg of ñāṇadassana"	""	""	"wisdom and insight, knowledge and vision"	"knowing and seeing"	""	""	""	""	"ñāṇa + dassana"	"dvanda"	"ñāṇa ca dassana ca"	"PA4"	"uttarimanussadhammasikkhāpadaṃ"	"yo pana bhikkhu anabhijānaṃ uttarimanussadhammaṃ att'ūpanāyikaṃ alam'ariya<b>ñāṇadassanaṃ</b> samudācareyya iti jānāmi, iti passāmī'ti"	""
"1"	"1"	"- - ñāṇa"	"noun"	"nt, from jānāti"	""	""	"knowledge, wisdom"	"knowing"	"√ñā (know)"	"5"	"nā"	""	"√ñā + aṇa"	""	""	"PA4"	"uttarimanussadhammasikkhāpadaṃ"	"yo pana bhikkhu anabhijānaṃ uttarimanussadhammaṃ att'ūpanāyikaṃ alam'ariya<b>ñāṇa</b>dassanaṃ samudācareyya iti jānāmi, iti passāmī'ti"	""
"1"	"1"	"- - dassanaṃ"	"noun"	"nt acc sg of dassana, from passati"	""	""	"insight, realization, spiritual vision"	"seeing"	"√dis (see)"	"1"	"a"	"√dis + a > dassa"	"dassa + ana"	""	""	"PA4"	"uttarimanussadhammasikkhāpadaṃ"	"yo pana bhikkhu anabhijānaṃ uttarimanussadhammaṃ att'ūpanāyikaṃ alam'ariyañāṇa<b>dassanaṃ</b> samudācareyya iti jānāmi, iti passāmī'ti"	""
"1"	"1"	"samudācareyya"	"verb"	"opt 3rd sg of samudācarati"	"+acc"	"அறிவித்தால்"	"he would announce, boast, claim"	"behaves"	"√car (walk, behave)"	"1"	"a"	"√car + a > cara"	"saṃ + ud + ā + cara + ti"	""	""	"PA4"	"uttarimanussadhammasikkhāpadaṃ"	"yo pana bhikkhu anabhijānaṃ uttarimanussadhammaṃ att'ūpanāyikaṃ alam'ariyañāṇadassanaṃ <b>samudācareyya</b> iti jānāmi, iti passāmī'ti"	""
"2"	"3"	"iti"	"ind"	"adv"	"0"	"இப்படி"	"this, like, thus"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"PA4"	"uttarimanussadhammasikkhāpadaṃ"	"yo pana bhikkhu anabhijānaṃ uttarimanussadhammaṃ att'upanāyikaṃ alam'ariyañāṇadassanaṃ samudācareyya <b>iti</b> jānāmi, iti passāmī'ti"	""
"1"	"2"	"jānāmi"	"verb"	"pr 1st sg of jānāti"	""	"அறிந்தேன்"	"I know, I understand"	""	"√ñā (know)"	"5"	"nā"	"√ñā + nā > jānā"	"jānā + ti"	""	""	"PA4"	"uttarimanussadhammasikkhāpadaṃ"	"yo pana bhikkhu anabhijānaṃ uttarimanussadhammaṃ att'ūpanāyikaṃ alam'ariyañāṇadassanaṃ samudācareyya iti <b>jānāmi</b>, iti passāmī'ti"	""
"3"	"3"	"iti"	"ind"	"adv"	"0"	"இப்படி"	"this, like, thus"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"PA4"	"uttarimanussadhammasikkhāpadaṃ"	"yo pana bhikkhu anabhijānaṃ uttarimanussadhammaṃ att'upanāyikaṃ alam'ariyañāṇadassanaṃ samudācareyya iti jānāmi, <b>iti</b> passāmī'ti"	""
"1"	"1"	"passāmīti"	"comp"	"sandhi, pr + ind"	""	"உணர்ந்தேன்"	""	""	""	""	""	""	"passāmi + iti"	""	""	"PA4"	"uttarimanussadhammasikkhāpadaṃ"	"yo pana bhikkhu anabhijānaṃ uttarimanussadhammaṃ att'ūpanāyikaṃ alam'ariyañāṇadassanaṃ samudācareyya iti jānāmi, iti <b>passāmī'ti</b>"	""
"1"	"1"	"- passāmi"	"verb"	"pr 1st sg of passati"	"+acc"	""	"I see, I understand"	""	"√dis (see)"	"1"	"a"	"√dis + a > passa"	"passa + ti"	""	""	"PA4"	"uttarimanussadhammasikkhāpadaṃ"	"yo pana bhikkhu anabhijānaṃ uttarimanussadhammaṃ att'ūpanāyikaṃ alam'ariyañāṇadassanaṃ samudācareyya iti jānāmi, iti <b>passāmī</b>'ti"	""
"5"	"45"	"- iti"	"ind"	"0"	"0"	"என"	"“”"	"thus"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"PA4"	"uttarimanussadhammasikkhāpadaṃ"	"yo pana bhikkhu anabhijānaṃ uttarimanussadhammaṃ att'upanāyikaṃ alam'ariyañāṇadassanaṃ samudācareyya iti jānāmi, iti passāmī'<b>ti</b>"	""
"1"	"16"	"tato"	"ind"	"adv, abl sg of ta"	""	"பின்"	"after, then"	"from that"	""	""	""	""	"ta + to"	""	""	"PA4"	"uttarimanussadhammasikkhāpadaṃ"	"<b>tato</b> aparena samayena samanuggāhīyamāno vā asamanuggāhīyamāno vā āpanno visuddh'āpekkho evaṃ vadeyya"	""
"1"	"3"	"aparena"	"adj"	"instr sg of apara"	""	"மற்றொரு"	"at another, at a later"	"with another"	""	""	""	""	"apa + ra"	""	""	"PA4"	"uttarimanussadhammasikkhāpadaṃ"	"tato <b>aparena</b> samayena samanuggāhīyamāno vā asamanuggāhīyamāno vā āpanno visuddh'āpekkho evaṃ vadeyya"	""
"1"	"3"	"samayena"	"noun"	"masc instr sg of samaya"	""	"சமயத்துடன்"	"at time, at occasion"	"with time, come together"	"√i (come, go)"	"1"	"a"	""	"saṃ + √i > ay + *a"	""	""	"PA4"	"uttarimanussadhammasikkhāpadaṃ"	"tato aparena <b>samayena</b> samanuggāhīyamāno vā asamanuggāhīyamāno vā āpanno visuddh'āpekkho evaṃ vadeyya"	""
"1"	"3"	"samanuggāhīyamāno"	"prp"	"masc nom sg of samanuggāhiyamāna, from samanuggāhīyati"	""	"விசாரணை செய்துகொண்டோ"	"being closely questioned"	"being dived into"	"√gāh (dive, plunge)"	"1"	"īya"	"√gāh + īya > gāhīya"	"saṃ + anu + gāhīya + māna"	""	""	"PA4"	"uttarimanussadhammasikkhāpadaṃ"	"tato aparena samayena <b>samanuggāhīyamāno</b> vā asamanuggāhīyamāno vā āpanno visuddh'āpekkho evaṃ vadeyya"	""
"10"	"220"	"vā"	"ind"	"conj"	"0"	"அல்லது"	"or, either or"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"PA4"	"uttarimanussadhammasikkhāpadaṃ"	"tato aparena samayena samanuggāhīyamāno <b>vā</b> asamanuggāhīyamāno vā āpanno visuddh'āpekkho evaṃ vadeyya"	""
"1"	"3"	"asamanuggāhīyamāno"	"prp"	"masc nom sg of na + samanuggāhiyamāna, from samanuggāhīyati"	""	"விசாரணை செய்யாமலோ"	"not being closely questioned"	"not being dived into"	"√gāh (dive, plunge)"	"1"	"īya"	"√gāh + īya > gāhīya"	"na + saṃ + anu + gāhīya + māna"	""	""	"PA4"	"uttarimanussadhammasikkhāpadaṃ"	"tato aparena samayena samanuggāhīyamāno vā <b>asamanuggāhīyamāno</b> vā āpanno visuddh'āpekkho evaṃ vadeyya"	""
"11"	"220"	"vā"	"ind"	"conj"	"0"	"அல்லது"	"or, either or"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"PA4"	"uttarimanussadhammasikkhāpadaṃ"	"tato aparena samayena samanuggāhīyamāno vā asamanuggāhīyamāno <b>vā</b> āpanno visuddh'āpekkho evaṃ vadeyya"	""
"1"	"2"	"āpanno"	"pp"	"masc nom sg of āpanna, from āpajjati"	""	"குற்றவாளி"	"who has committed"	"entered, reached"	"√pad (go, step)"	"3"	"ya"	""	"ā + √pad + na"	""	""	"PA4"	"uttarimanussadhammasikkhāpadaṃ"	"tato aparena samayena samanuggāhīyamāno vā asamanuggāhīyamāno vā <b>āpanno</b> visuddh'āpekkho evaṃ vadeyya"	""
"1"	"1"	"visuddhāpekkho"	"adj"	"masc nom sg, comp"	""	"தூய்மைக்கு வேண்டி"	"looking for purity, wanting purification"	""	""	""	""	""	"visuddhi + apekkha"	"locative tappurisa"	"visuddh<b>iyaṃ</b> + apekkha"	"PA4"	"uttarimanussadhammasikkhāpadaṃ"	"tato aparena samayena samanuggāhīyamāno vā asamanuggāhīyamāno vā āpanno <b>visuddh'āpekkho</b> evaṃ vadeyya"	""
"2"	"2"	"- visuddhi"	"noun"	"fem, from visujjhati"	"0"	"தூய்மை "	"purity"	"0"	"√sudh (be pure)"	"3"	"ya"	"0"	"vi + √sudh + ti"	"0"	"0"	"PA4"	"uttarimanussadhammasikkhāpadaṃ"	"tato aparena samayena samanuggāhīyamāno vā asamanuggāhīyamāno vā āpanno <b>visuddh</b>'āpekkho evaṃ vadeyya"	""
